transcript_id	gene_id
ENST00000667392	ENSG00000233215
ENST00000666229	ENSG00000233215
ENST00000669715	ENSG00000233215
ENST00000445341	ENSG00000231058
ENST00000624506	ENSG00000279186
ENST00000400117	ENSG00000215353
ENST00000433101	ENSG00000227716
ENST00000423389	ENSG00000237444
ENST00000447844	ENSG00000217026
ENST00000419069	ENSG00000238265
ENST00000457565	ENSG00000229306
ENST00000620221	ENSG00000278181
ENST00000449840	ENSG00000226204
ENST00000651542	ENSG00000280081
ENST00000623554	ENSG00000280081
ENST00000623919	ENSG00000280081
ENST00000623933	ENSG00000280081
ENST00000651050	ENSG00000280081
ENST00000623929	ENSG00000280081
ENST00000424219	ENSG00000229289
ENST00000652402	ENSG00000286222
ENST00000412526	ENSG00000226935
ENST00000455939	ENSG00000226935
ENST00000426534	ENSG00000232079
ENST00000458316	ENSG00000232079
ENST00000631186	ENSG00000232079
ENST00000423808	ENSG00000232079
ENST00000616647	ENSG00000232079
ENST00000436878	ENSG00000232079
ENST00000609782	ENSG00000232079
ENST00000657256	ENSG00000232079
ENST00000625012	ENSG00000270533
ENST00000604687	ENSG00000270533
ENST00000642623	ENSG00000224832
ENST00000416218	ENSG00000224832
ENST00000623771	ENSG00000279156
ENST00000612331	ENSG00000278106
ENST00000455391	ENSG00000228708
ENST00000454567	ENSG00000231136
ENST00000416002	ENSG00000230233
ENST00000447938	ENSG00000234439
ENST00000415269	ENSG00000226996
ENST00000434859	ENSG00000226996
ENST00000651349	ENSG00000286012
ENST00000433210	ENSG00000231620
ENST00000382751	ENSG00000142207
ENST00000480196	ENSG00000142207
ENST00000492603	ENSG00000142207
ENST00000651130	ENSG00000286032
ENST00000416044	ENSG00000232263
ENST00000625014	ENSG00000279213
ENST00000651001	ENSG00000286091
ENST00000625020	ENSG00000279990
ENST00000400532	ENSG00000154721
ENST00000480456	ENSG00000154721
ENST00000460679	ENSG00000154721
ENST00000492962	ENSG00000154721
ENST00000477351	ENSG00000154721
ENST00000471689	ENSG00000154721
ENST00000312957	ENSG00000154721
ENST00000660906	ENSG00000286902
ENST00000428205	ENSG00000234730
ENST00000447052	ENSG00000223822
ENST00000652251	ENSG00000233480
ENST00000443479	ENSG00000233480
ENST00000421604	ENSG00000230972
ENST00000447384	ENSG00000236332
ENST00000656258	ENSG00000236332
ENST00000666822	ENSG00000236332
ENST00000567517	ENSG00000260583
ENST00000448063	ENSG00000224018
ENST00000661367	ENSG00000224018
ENST00000654547	ENSG00000224018
ENST00000608410	ENSG00000273115
ENST00000441465	ENSG00000231986
ENST00000430538	ENSG00000225267
ENST00000420186	ENSG00000231236
ENST00000436373	ENSG00000233236
ENST00000623768	ENSG00000280082
ENST00000441009	ENSG00000226983
ENST00000659370	ENSG00000226983
ENST00000433310	ENSG00000232855
ENST00000430247	ENSG00000232855
ENST00000452028	ENSG00000232855
ENST00000659279	ENSG00000232855
ENST00000654020	ENSG00000232855
ENST00000657148	ENSG00000232855
ENST00000286808	ENSG00000156282
ENST00000299340	ENSG00000166265
ENST00000652641	ENSG00000166265
ENST00000400043	ENSG00000166265
ENST00000413813	ENSG00000232260
ENST00000426771	ENSG00000223563
ENST00000488492	ENSG00000243927
ENST00000399312	ENSG00000243927
ENST00000477091	ENSG00000243927
ENST00000483977	ENSG00000243927
ENST00000482679	ENSG00000243927
ENST00000453802	ENSG00000232512
ENST00000418942	ENSG00000232512
ENST00000409758	ENSG00000222042
ENST00000656005	ENSG00000222042
ENST00000667825	ENSG00000222042
ENST00000456825	ENSG00000215369
ENST00000400014	ENSG00000215317
ENST00000565564	ENSG00000259981
ENST00000447125	ENSG00000215533
ENST00000420364	ENSG00000215533
ENST00000431661	ENSG00000215533
ENST00000448832	ENSG00000215351
ENST00000623217	ENSG00000279381
ENST00000436405	ENSG00000235514
ENST00000426418	ENSG00000234052
ENST00000657236	ENSG00000234052
ENST00000662686	ENSG00000234052
ENST00000660773	ENSG00000234052
ENST00000668267	ENSG00000234052
ENST00000340345	ENSG00000188694
ENST00000627981	ENSG00000281181
ENST00000381151	ENSG00000198743
ENST00000406229	ENSG00000219592
ENST00000624263	ENSG00000280243
ENST00000314103	ENSG00000159259
ENST00000480486	ENSG00000159259
ENST00000481458	ENSG00000159259
ENST00000453420	ENSG00000236532
ENST00000433303	ENSG00000236532
ENST00000437194	ENSG00000236532
ENST00000662491	ENSG00000236532
ENST00000625098	ENSG00000279167
ENST00000425979	ENSG00000233997
ENST00000430060	ENSG00000233997
ENST00000623664	ENSG00000278996
ENST00000413190	ENSG00000233206
ENST00000286835	ENSG00000156304
ENST00000399804	ENSG00000156304
ENST00000434667	ENSG00000156304
ENST00000467731	ENSG00000156304
ENST00000472318	ENSG00000156304
ENST00000485790	ENSG00000156304
ENST00000450823	ENSG00000224524
ENST00000420241	ENSG00000233300
ENST00000451410	ENSG00000227342
ENST00000425147	ENSG00000213885
ENST00000672784	ENSG00000213885
ENST00000435878	ENSG00000229025
ENST00000400546	ENSG00000154654
ENST00000486367	ENSG00000154654
ENST00000461281	ENSG00000154654
ENST00000484983	ENSG00000154654
ENST00000284894	ENSG00000154654
ENST00000416641	ENSG00000226956
ENST00000416182	ENSG00000237527
ENST00000420965	ENSG00000237731
ENST00000629969	ENSG00000281383
ENST00000406538	ENSG00000218549
ENST00000448908	ENSG00000230198
ENST00000608591	ENSG00000273492
ENST00000609365	ENSG00000273492
ENST00000664668	ENSG00000273492
ENST00000624800	ENSG00000279690
ENST00000447405	ENSG00000235564
ENST00000665316	ENSG00000229962
ENST00000658909	ENSG00000229962
ENST00000419694	ENSG00000229962
ENST00000451820	ENSG00000227721
ENST00000398948	ENSG00000184029
ENST00000328264	ENSG00000184029
ENST00000482032	ENSG00000184029
ENST00000444161	ENSG00000224421
ENST00000667151	ENSG00000286717
ENST00000458495	ENSG00000234107
ENST00000415238	ENSG00000224598
ENST00000414189	ENSG00000231231
ENST00000436845	ENSG00000231231
ENST00000440664	ENSG00000232560
ENST00000613691	ENSG00000232560
ENST00000432412	ENSG00000227330
ENST00000623408	ENSG00000279211
ENST00000399899	ENSG00000156284
ENST00000659278	ENSG00000287109
ENST00000446404	ENSG00000227090
ENST00000410005	ENSG00000222018
ENST00000433588	ENSG00000224247
ENST00000440714	ENSG00000237609
ENST00000624405	ENSG00000279534
ENST00000478613	ENSG00000198054
ENST00000469658	ENSG00000198054
ENST00000400477	ENSG00000198054
ENST00000495344	ENSG00000198054
ENST00000465532	ENSG00000198054
ENST00000357704	ENSG00000198054
ENST00000614538	ENSG00000198054
ENST00000608289	ENSG00000272958
ENST00000362077	ENSG00000272657
ENST00000624164	ENSG00000279648
ENST00000411460	ENSG00000225298
ENST00000425376	ENSG00000225298
ENST00000442550	ENSG00000225298
ENST00000433951	ENSG00000223741
ENST00000437109	ENSG00000237138
ENST00000427022	ENSG00000214955
ENST00000624806	ENSG00000279967
ENST00000652368	ENSG00000286103
ENST00000444868	ENSG00000237735
ENST00000270112	ENSG00000142149
ENST00000430354	ENSG00000142149
ENST00000465574	ENSG00000142149
ENST00000439107	ENSG00000142149
ENST00000613970	ENSG00000275945
ENST00000284881	ENSG00000154642
ENST00000400559	ENSG00000154642
ENST00000400558	ENSG00000154642
ENST00000405964	ENSG00000154642
ENST00000493464	ENSG00000154642
ENST00000482915	ENSG00000154642
ENST00000429588	ENSG00000230479
ENST00000419431	ENSG00000184856
ENST00000657104	ENSG00000184856
ENST00000624821	ENSG00000279718
ENST00000417138	ENSG00000223608
ENST00000492336	ENSG00000159256
ENST00000400485	ENSG00000159256
ENST00000487909	ENSG00000159256
ENST00000485933	ENSG00000159256
ENST00000485299	ENSG00000159256
ENST00000484028	ENSG00000159256
ENST00000546482	ENSG00000159256
ENST00000549948	ENSG00000159256
ENST00000551788	ENSG00000159256
ENST00000551367	ENSG00000159256
ENST00000552581	ENSG00000159256
ENST00000547657	ENSG00000159256
ENST00000331923	ENSG00000159086
ENST00000466846	ENSG00000159086
ENST00000443785	ENSG00000159086
ENST00000497873	ENSG00000159086
ENST00000290178	ENSG00000159086
ENST00000445049	ENSG00000159086
ENST00000421049	ENSG00000159086
ENST00000472588	ENSG00000159086
ENST00000464256	ENSG00000159086
ENST00000603349	ENSG00000271486
ENST00000490358	ENSG00000205929
ENST00000487113	ENSG00000205929
ENST00000382373	ENSG00000205929
ENST00000479548	ENSG00000205929
ENST00000623860	ENSG00000280441
ENST00000651813	ENSG00000280441
ENST00000651958	ENSG00000280441
ENST00000652379	ENSG00000280441
ENST00000623587	ENSG00000279784
ENST00000433344	ENSG00000234083
ENST00000432141	ENSG00000233316
ENST00000467573	ENSG00000228861
ENST00000652220	ENSG00000286149
ENST00000411605	ENSG00000230323
ENST00000414877	ENSG00000230323
ENST00000658887	ENSG00000230323
ENST00000454182	ENSG00000230379
ENST00000441666	ENSG00000230379
ENST00000444178	ENSG00000230379
ENST00000399353	ENSG00000205726
ENST00000444491	ENSG00000205726
ENST00000470742	ENSG00000205726
ENST00000381318	ENSG00000205726
ENST00000381291	ENSG00000205726
ENST00000399367	ENSG00000205726
ENST00000399352	ENSG00000205726
ENST00000399355	ENSG00000205726
ENST00000399349	ENSG00000205726
ENST00000451686	ENSG00000205726
ENST00000381283	ENSG00000205726
ENST00000456489	ENSG00000205726
ENST00000488166	ENSG00000205726
ENST00000474132	ENSG00000205726
ENST00000419241	ENSG00000205726
ENST00000440794	ENSG00000205726
ENST00000465143	ENSG00000205726
ENST00000487427	ENSG00000205726
ENST00000437126	ENSG00000205726
ENST00000428240	ENSG00000205726
ENST00000472548	ENSG00000205726
ENST00000479424	ENSG00000205726
ENST00000462212	ENSG00000205726
ENST00000495656	ENSG00000205726
ENST00000475422	ENSG00000205726
ENST00000489261	ENSG00000205726
ENST00000381284	ENSG00000205726
ENST00000420666	ENSG00000205726
ENST00000415023	ENSG00000205726
ENST00000379960	ENSG00000205726
ENST00000381285	ENSG00000205726
ENST00000399338	ENSG00000205726
ENST00000399139	ENSG00000159261
ENST00000399137	ENSG00000159261
ENST00000399135	ENSG00000159261
ENST00000399136	ENSG00000159261
ENST00000342108	ENSG00000159261
ENST00000650962	ENSG00000286267
ENST00000434589	ENSG00000229925
ENST00000652229	ENSG00000286178
ENST00000622592	ENSG00000277693
ENST00000616952	ENSG00000277693
ENST00000667012	ENSG00000277693
ENST00000651618	ENSG00000279864
ENST00000624736	ENSG00000279864
ENST00000609713	ENSG00000157542
ENST00000645093	ENSG00000157542
ENST00000651797	ENSG00000286252
ENST00000431254	ENSG00000241837
ENST00000491703	ENSG00000241837
ENST00000290299	ENSG00000241837
ENST00000652380	ENSG00000241837
ENST00000417181	ENSG00000241837
ENST00000418933	ENSG00000241837
ENST00000429064	ENSG00000241837
ENST00000495005	ENSG00000241837
ENST00000496044	ENSG00000241837
ENST00000484627	ENSG00000241837
ENST00000487374	ENSG00000241837
ENST00000429340	ENSG00000232692
ENST00000452460	ENSG00000232692
ENST00000421771	ENSG00000232692
ENST00000444306	ENSG00000232692
ENST00000454157	ENSG00000226298
ENST00000430064	ENSG00000232886
ENST00000435001	ENSG00000233213
ENST00000433952	ENSG00000232837
ENST00000450769	ENSG00000227054
ENST00000400128	ENSG00000154645
ENST00000400131	ENSG00000154645
ENST00000400135	ENSG00000154645
ENST00000400127	ENSG00000154645
ENST00000299295	ENSG00000154645
ENST00000543733	ENSG00000154645
ENST00000338326	ENSG00000154645
ENST00000623753	ENSG00000279669
ENST00000673983	ENSG00000288555
ENST00000630751	ENSG00000227456
ENST00000430922	ENSG00000227456
ENST00000428914	ENSG00000227456
ENST00000609062	ENSG00000227456
ENST00000609947	ENSG00000227456
ENST00000416145	ENSG00000227456
ENST00000419881	ENSG00000227456
ENST00000652428	ENSG00000227456
ENST00000619549	ENSG00000227456
ENST00000444977	ENSG00000226012
ENST00000429512	ENSG00000228235
ENST00000623182	ENSG00000279414
ENST00000324988	ENSG00000178457
ENST00000612267	ENSG00000273840
ENST00000291700	ENSG00000160307
ENST00000367071	ENSG00000160307
ENST00000397648	ENSG00000160307
ENST00000623794	ENSG00000279579
ENST00000624813	ENSG00000279579
ENST00000548219	ENSG00000156273
ENST00000550131	ENSG00000156273
ENST00000547141	ENSG00000156273
ENST00000546469	ENSG00000156273
ENST00000286800	ENSG00000156273
ENST00000399921	ENSG00000156273
ENST00000548467	ENSG00000156273
ENST00000451655	ENSG00000156273
ENST00000447177	ENSG00000156273
ENST00000435072	ENSG00000156273
ENST00000422809	ENSG00000156273
ENST00000468059	ENSG00000156273
ENST00000462262	ENSG00000156273
ENST00000440403	ENSG00000225555
ENST00000414486	ENSG00000197934
ENST00000357401	ENSG00000197934
ENST00000611755	ENSG00000276556
ENST00000624041	ENSG00000279208
ENST00000423089	ENSG00000231123
ENST00000451618	ENSG00000224413
ENST00000428689	ENSG00000244676
ENST00000454737	ENSG00000244676
ENST00000435738	ENSG00000226115
ENST00000625184	ENSG00000278884
ENST00000416842	ENSG00000229986
ENST00000632732	ENSG00000270835
ENST00000605450	ENSG00000270835
ENST00000671443	ENSG00000287082
ENST00000428667	ENSG00000233818
ENST00000454980	ENSG00000233818
ENST00000652151	ENSG00000286054
ENST00000674444	ENSG00000288593
ENST00000428242	ENSG00000233767
ENST00000623095	ENSG00000277067
ENST00000622911	ENSG00000277067
ENST00000621909	ENSG00000277067
ENST00000623394	ENSG00000277067
ENST00000624310	ENSG00000277067
ENST00000615804	ENSG00000277067
ENST00000449214	ENSG00000223662
ENST00000448579	ENSG00000223806
ENST00000411989	ENSG00000223806
ENST00000429621	ENSG00000223806
ENST00000663481	ENSG00000223806
ENST00000360214	ENSG00000157557
ENST00000665212	ENSG00000157557
ENST00000667466	ENSG00000157557
ENST00000360938	ENSG00000157557
ENST00000432278	ENSG00000157557
ENST00000666778	ENSG00000157557
ENST00000653642	ENSG00000157557
ENST00000662305	ENSG00000157557
ENST00000456966	ENSG00000157557
ENST00000671754	ENSG00000288266
ENST00000419906	ENSG00000230982
ENST00000427757	ENSG00000212932
ENST00000472602	ENSG00000157551
ENST00000549158	ENSG00000157551
ENST00000549805	ENSG00000157551
ENST00000547341	ENSG00000157551
ENST00000549932	ENSG00000157551
ENST00000547595	ENSG00000157551
ENST00000548700	ENSG00000157551
ENST00000551422	ENSG00000157551
ENST00000398925	ENSG00000157551
ENST00000398928	ENSG00000157551
ENST00000328656	ENSG00000157551
ENST00000443341	ENSG00000157551
ENST00000417042	ENSG00000157551
ENST00000398938	ENSG00000157551
ENST00000398932	ENSG00000157551
ENST00000438657	ENSG00000157551
ENST00000398930	ENSG00000157551
ENST00000398927	ENSG00000157551
ENST00000419868	ENSG00000157551
ENST00000398934	ENSG00000157551
ENST00000613499	ENSG00000157551
ENST00000612702	ENSG00000157551
ENST00000624669	ENSG00000279365
ENST00000608665	ENSG00000273104
ENST00000615444	ENSG00000276738
ENST00000379571	ENSG00000223488
ENST00000427301	ENSG00000168122
ENST00000381554	ENSG00000205758
ENST00000290244	ENSG00000205758
ENST00000468349	ENSG00000205758
ENST00000381540	ENSG00000205758
ENST00000452420	ENSG00000205758
ENST00000441940	ENSG00000205758
ENST00000480893	ENSG00000205758
ENST00000445393	ENSG00000205758
ENST00000437996	ENSG00000205758
ENST00000361534	ENSG00000205758
ENST00000429827	ENSG00000205758
ENST00000420072	ENSG00000205758
ENST00000440526	ENSG00000205758
ENST00000479964	ENSG00000205758
ENST00000414079	ENSG00000205758
ENST00000426935	ENSG00000205758
ENST00000431177	ENSG00000205758
ENST00000488167	ENSG00000205758
ENST00000417979	ENSG00000205758
ENST00000490714	ENSG00000205758
ENST00000413017	ENSG00000205758
ENST00000438788	ENSG00000205758
ENST00000399442	ENSG00000205758
ENST00000424255	ENSG00000237202
ENST00000303775	ENSG00000156239
ENST00000351429	ENSG00000156239
ENST00000460212	ENSG00000156239
ENST00000624445	ENSG00000280108
ENST00000631211	ENSG00000280800
ENST00000332473	ENSG00000185390
ENST00000441759	ENSG00000234034
ENST00000451052	ENSG00000175302
ENST00000407739	ENSG00000219280
ENST00000424290	ENSG00000226930
ENST00000429238	ENSG00000249209
ENST00000427446	ENSG00000228159
ENST00000671654	ENSG00000228159
ENST00000660298	ENSG00000228159
ENST00000664515	ENSG00000228159
ENST00000624130	ENSG00000279783
ENST00000624852	ENSG00000279615
ENST00000624226	ENSG00000279321
ENST00000623559	ENSG00000279321
ENST00000656161	ENSG00000287470
ENST00000284987	ENSG00000154736
ENST00000652031	ENSG00000154736
ENST00000442212	ENSG00000231480
ENST00000624261	ENSG00000279094
ENST00000624859	ENSG00000279094
ENST00000623227	ENSG00000279094
ENST00000610788	ENSG00000277777
ENST00000610460	ENSG00000277739
ENST00000581792	ENSG00000264462
ENST00000618423	ENSG00000277671
ENST00000616483	ENSG00000274060
ENST00000613803	ENSG00000274484
ENST00000622482	ENSG00000277379
ENST00000612139	ENSG00000274868
ENST00000613359	ENSG00000275215
ENST00000617390	ENSG00000275692
ENST00000619112	ENSG00000278775
ENST00000619471	ENSG00000278189
ENST00000619005	ENSG00000276546
ENST00000616420	ENSG00000275950
ENST00000620684	ENSG00000275631
ENST00000610482	ENSG00000275664
ENST00000615959	ENSG00000275708
ENST00000614492	ENSG00000277437
ENST00000612463	ENSG00000278233
ENST00000516390	ENSG00000252199
ENST00000581787	ENSG00000266299
ENST00000617336	ENSG00000274046
ENST00000577708	ENSG00000264063
ENST00000384745	ENSG00000207476
ENST00000584271	ENSG00000264002
ENST00000516653	ENSG00000252462
ENST00000363884	ENSG00000200754
ENST00000363092	ENSG00000199962
ENST00000517154	ENSG00000252963
ENST00000391262	ENSG00000212564
ENST00000516042	ENSG00000251851
ENST00000411146	ENSG00000223078
ENST00000391307	ENSG00000212609
ENST00000365469	ENSG00000202339
ENST00000580304	ENSG00000266211
ENST00000362828	ENSG00000199698
ENST00000410635	ENSG00000274662
ENST00000583100	ENSG00000266195
ENST00000385060	ENSG00000283904
ENST00000619419	ENSG00000275469
ENST00000410986	ENSG00000238627
ENST00000584048	ENSG00000266133
ENST00000580069	ENSG00000265841
ENST00000384369	ENSG00000207097
ENST00000637157	ENSG00000283300
ENST00000467060	ENSG00000244294
ENST00000606322	ENSG00000272015
ENST00000363922	ENSG00000200792
ENST00000458654	ENSG00000236545
ENST00000432411	ENSG00000227698
ENST00000515969	ENSG00000251778
ENST00000449165	ENSG00000157617
ENST00000329623	ENSG00000157617
ENST00000380486	ENSG00000157617
ENST00000482186	ENSG00000157617
ENST00000482084	ENSG00000157617
ENST00000467074	ENSG00000157617
ENST00000490479	ENSG00000157617
ENST00000478372	ENSG00000157617
ENST00000398505	ENSG00000173276
ENST00000310826	ENSG00000173276
ENST00000398499	ENSG00000173276
ENST00000398511	ENSG00000173276
ENST00000465968	ENSG00000173276
ENST00000425521	ENSG00000173276
ENST00000449949	ENSG00000173276
ENST00000398497	ENSG00000173276
ENST00000329015	ENSG00000184385
ENST00000412906	ENSG00000237232
ENST00000675770	ENSG00000237232
ENST00000675924	ENSG00000237232
ENST00000676087	ENSG00000237232
ENST00000675169	ENSG00000237232
ENST00000657413	ENSG00000237232
ENST00000665885	ENSG00000237232
ENST00000669320	ENSG00000237232
ENST00000455701	ENSG00000237232
ENST00000429739	ENSG00000237232
ENST00000676145	ENSG00000237232
ENST00000430635	ENSG00000230978
ENST00000651753	ENSG00000230978
ENST00000455028	ENSG00000234703
ENST00000421454	ENSG00000223671
ENST00000431167	ENSG00000231300
ENST00000412240	ENSG00000230794
ENST00000390235	ENSG00000211590
ENST00000434853	ENSG00000229761
ENST00000440405	ENSG00000234008
ENST00000453844	ENSG00000214914
ENST00000408914	ENSG00000189089
ENST00000436303	ENSG00000236677
ENST00000363343	ENSG00000200213
ENST00000535199	ENSG00000230212
ENST00000415147	ENSG00000230212
ENST00000466328	ENSG00000159228
ENST00000530908	ENSG00000159228
ENST00000439427	ENSG00000159228
ENST00000290349	ENSG00000159228
ENST00000399191	ENSG00000159228
ENST00000445464	ENSG00000236119
ENST00000452572	ENSG00000226054
ENST00000419943	ENSG00000214889
ENST00000290354	ENSG00000159231
ENST00000437106	ENSG00000228149
ENST00000344691	ENSG00000159216
ENST00000437180	ENSG00000159216
ENST00000675419	ENSG00000159216
ENST00000300305	ENSG00000159216
ENST00000482318	ENSG00000159216
ENST00000399240	ENSG00000159216
ENST00000479325	ENSG00000159216
ENST00000358356	ENSG00000159216
ENST00000469087	ENSG00000159216
ENST00000399237	ENSG00000159216
ENST00000467577	ENSG00000159216
ENST00000455571	ENSG00000159216
ENST00000475045	ENSG00000159216
ENST00000416754	ENSG00000159216
ENST00000468726	ENSG00000159216
ENST00000467692	ENSG00000159216
ENST00000494829	ENSG00000159216
ENST00000460207	ENSG00000159216
ENST00000469079	ENSG00000166979
ENST00000459833	ENSG00000166979
ENST00000435323	ENSG00000166979
ENST00000437338	ENSG00000166979
ENST00000457807	ENSG00000166979
ENST00000401402	ENSG00000166979
ENST00000382699	ENSG00000166979
ENST00000300255	ENSG00000166979
ENST00000481638	ENSG00000166979
ENST00000412833	ENSG00000166979
ENST00000464037	ENSG00000166979
ENST00000496615	ENSG00000166979
ENST00000485488	ENSG00000166979
ENST00000448649	ENSG00000229007
ENST00000516236	ENSG00000252045
ENST00000517141	ENSG00000252950
ENST00000431599	ENSG00000159079
ENST00000290155	ENSG00000159079
ENST00000440966	ENSG00000159079
ENST00000382549	ENSG00000159079
ENST00000425336	ENSG00000159079
ENST00000300260	ENSG00000159079
ENST00000483315	ENSG00000159079
ENST00000458138	ENSG00000159079
ENST00000435600	ENSG00000228433
ENST00000411943	ENSG00000238220
ENST00000673740	ENSG00000265590
ENST00000674122	ENSG00000265590
ENST00000674072	ENSG00000265590
ENST00000673633	ENSG00000265590
ENST00000673979	ENSG00000265590
ENST00000673722	ENSG00000265590
ENST00000674123	ENSG00000265590
ENST00000673984	ENSG00000265590
ENST00000674042	ENSG00000265590
ENST00000674025	ENSG00000265590
ENST00000673879	ENSG00000265590
ENST00000673799	ENSG00000265590
ENST00000673985	ENSG00000265590
ENST00000673900	ENSG00000265590
ENST00000673727	ENSG00000265590
ENST00000673694	ENSG00000265590
ENST00000673072	ENSG00000265590
ENST00000673672	ENSG00000265590
ENST00000673807	ENSG00000265590
ENST00000673945	ENSG00000265590
ENST00000553001	ENSG00000265590
ENST00000431216	ENSG00000265590
ENST00000673870	ENSG00000265590
ENST00000673907	ENSG00000242220
ENST00000674032	ENSG00000242220
ENST00000673667	ENSG00000242220
ENST00000673787	ENSG00000242220
ENST00000674141	ENSG00000242220
ENST00000674055	ENSG00000242220
ENST00000334165	ENSG00000242220
ENST00000300258	ENSG00000242220
ENST00000491828	ENSG00000242220
ENST00000673776	ENSG00000242220
ENST00000673793	ENSG00000242220
ENST00000674156	ENSG00000242220
ENST00000472557	ENSG00000242220
ENST00000582575	ENSG00000242220
ENST00000673699	ENSG00000242220
ENST00000450895	ENSG00000243627
ENST00000339775	ENSG00000154640
ENST00000348354	ENSG00000154640
ENST00000471860	ENSG00000154640
ENST00000496601	ENSG00000154640
ENST00000464058	ENSG00000154640
ENST00000457956	ENSG00000154640
ENST00000397898	ENSG00000184900
ENST00000332859	ENSG00000184900
ENST00000479153	ENSG00000184900
ENST00000397893	ENSG00000184900
ENST00000466861	ENSG00000184900
ENST00000411651	ENSG00000184900
ENST00000352957	ENSG00000154719
ENST00000307301	ENSG00000154719
ENST00000419219	ENSG00000154719
ENST00000400564	ENSG00000155307
ENST00000400566	ENSG00000155307
ENST00000644288	ENSG00000155307
ENST00000647101	ENSG00000155307
ENST00000463807	ENSG00000155307
ENST00000493640	ENSG00000155307
ENST00000435732	ENSG00000155307
ENST00000400562	ENSG00000155307
ENST00000469393	ENSG00000155307
ENST00000467280	ENSG00000155307
ENST00000285670	ENSG00000155307
ENST00000619120	ENSG00000155307
ENST00000481710	ENSG00000205670
ENST00000399292	ENSG00000205670
