gene_id	KO_1	KO_2	KO_3	WT_1	WT_2	WT_3
ENSG00000231123	0	0	0	0	0	1
ENSG00000231136	0	0	0	0	1	0
ENSG00000231300	1	0	1	0	1	0
ENSG00000231480	0	0	0	0	0	0
ENSG00000232260	0	0	2	1	1	1
ENSG00000232263	0	0	0	0	0	0
ENSG00000232608	1	0	0	0	0	0
ENSG00000232687	0	0	0	0	0	0
ENSG00000232777	0	0	0	0	1	0
ENSG00000232797	0	0	0	0	0	0
ENSG00000233036	0	0	0	0	0	0
ENSG00000233056	19	26	36	16	21	32
ENSG00000233206	0	0	0	0	0	0
ENSG00000233300	0	0	0	0	0	0
ENSG00000233442	0	0	0	0	0	0
ENSG00000233640	0	0	0	0	0	0
ENSG00000233676	0	0	0	0	0	0
ENSG00000233767	0	0	0	0	0	0
ENSG00000233956	1	1	0	0	2	0
ENSG00000234008	0	0	0	0	0	0
ENSG00000234030	0	0	0	1	1	0
ENSG00000234107	0	0	0	0	0	1
ENSG00000234159	0	0	0	0	0	0
ENSG00000234289	67	49	47	28	32	41
ENSG00000234340	0	1	0	0	0	0
ENSG00000234439	0	0	2	1	0	0
ENSG00000234538	0	0	0	0	0	0
ENSG00000235012	0	0	0	0	0	0
ENSG00000235312	0	0	0	0	0	0
ENSG00000235374	44	68	48	62	83	80
ENSG00000235514	0	0	0	0	0	0
ENSG00000235701	4	1	2	0	3	1
ENSG00000235808	1	0	0	1	0	0
ENSG00000236056	0	0	0	0	0	0
ENSG00000236382	0	0	0	0	0	0
ENSG00000236400	0	0	0	0	0	0
ENSG00000236612	0	0	0	0	0	0
ENSG00000237202	0	0	0	0	0	0
ENSG00000237325	0	0	0	0	0	0
ENSG00000237444	0	0	0	0	0	0
ENSG00000237569	0	0	0	0	0	0
ENSG00000237731	0	0	0	0	0	0
ENSG00000237841	0	0	0	0	0	0
ENSG00000238220	0	0	0	0	0	0
ENSG00000238257	0	0	0	0	0	0
ENSG00000238627	0	0	0	0	0	0
ENSG00000240432	0	0	0	0	0	0
ENSG00000240755	17	18	9	6	6	4
ENSG00000241123	0	0	0	0	0	0
ENSG00000241837	6059	5861	6263	6819	6707	6295
ENSG00000241945	4273	4251	3693	5492	5744	4891
ENSG00000242220	22	2	0	6	4	4
ENSG00000243064	0	0	0	0	0	0
ENSG00000243489	0	0	0	0	0	0
ENSG00000243627	0	0	0	0	0	0
ENSG00000243646	462	462	498	510	549	475
ENSG00000243927	2067	2085	1765	2495	2820	2291
ENSG00000244025	0	0	0	0	0	0
ENSG00000244362	0	0	0	0	0	0
ENSG00000244624	0	0	0	0	0	0
ENSG00000249209	18	16	20	47	21	34
ENSG00000249493	0	1	1	0	2	1
ENSG00000249624	40	25	24	42	32	54
ENSG00000250973	0	0	0	0	0	0
ENSG00000252950	0	0	0	0	0	0
ENSG00000265590	463	524	464	382	372	458
ENSG00000270533	21	25	26	13	20	15
ENSG00000270652	0	0	0	0	0	0
ENSG00000270835	0	0	0	0	0	0
ENSG00000271486	0	0	0	0	0	0
ENSG00000272804	0	0	0	0	0	0
ENSG00000273692	0	0	0	0	0	0
ENSG00000273872	0	0	0	0	0	0
ENSG00000274391	0	0	0	0	0	0
ENSG00000274749	0	0	0	0	0	0
ENSG00000275170	0	0	0	0	0	0
ENSG00000275592	0	0	0	0	0	0
ENSG00000275945	0	3	2	0	1	0
ENSG00000276556	0	0	0	0	0	0
ENSG00000276647	0	0	0	0	0	0
ENSG00000276738	0	0	0	0	0	0
ENSG00000277282	0	0	0	0	0	0
ENSG00000278106	0	0	0	0	0	0
ENSG00000278181	0	0	0	0	0	0
ENSG00000278381	0	0	0	0	0	0
ENSG00000278678	0	0	0	0	0	0
ENSG00000278931	41	46	47	38	63	47
ENSG00000279062	1	0	0	0	0	0
ENSG00000279167	0	0	0	0	0	0
ENSG00000279208	29	19	48	28	12	21
ENSG00000279211	0	0	0	0	0	0
ENSG00000279213	0	0	0	0	0	0
ENSG00000279381	0	0	0	0	0	0
ENSG00000279414	1	2	0	2	0	0
ENSG00000279477	0	0	0	0	0	0
ENSG00000279615	0	0	0	0	0	0
ENSG00000279647	0	0	0	0	0	0
ENSG00000279709	0	0	0	0	0	0
ENSG00000279718	1	1	5	4	7	4
ENSG00000279720	3	2	1	5	3	2
ENSG00000279728	0	0	0	0	0	0
ENSG00000279783	0	0	0	0	0	0
ENSG00000279788	0	0	0	0	0	0
ENSG00000279864	0	0	0	0	0	0
ENSG00000279895	0	0	0	0	0	0
ENSG00000279990	0	0	0	0	0	0
ENSG00000280019	0	0	0	0	0	0
ENSG00000280081	228	243	304	292	364	289
ENSG00000280243	0	0	0	0	0	0
ENSG00000280330	4	4	2	1	3	3
ENSG00000280436	0	0	0	0	0	1
ENSG00000281420	0	0	0	0	0	0
ENSG00000285815	32	23	34	60	7	16
ENSG00000286224	0	0	0	0	0	0
ENSG00000288593	0	0	0	7	0	2
ENSG00000288711	0	0	0	0	0	0
